ID,Gender,StartYr,DeptCode,Begin.Salary,Salary,Expernc,Rank
282,Female,1970,8,8200,39700,0,Professr
558,Male,1965,6,11000,54300,12,Professr
349,Male,1965,3,8160,47300,4,Professr
996,Male,1974,6,10500,38400,5,Professr
405,Female,1972,6,8800,40100,1,Professr
978,Male,1970,3,8000,42000,3.25,Professr
987,Female,1985,4,17000,25300,5.17,AsstProf
824,Male,1985,5,18000,24600,4.92,Instruct
430,Female,1974,8,9400,35600,1,Professr
392,Female,1972,3,8800,40000,3,Professr
513,Male,1969,6,8300,43100,3,Professr
474,Male,1975,3,9500,35200,3.25,Professr
252,Male,1982,2,15500,27800,2,AssoProf
872,Male,1973,7,11000,40400,8,Professr
840,Male,1970,3,8500,39800,2,Professr
244,Female,1975,1,10700,36100,1,Professr
217,Female,1980,5,12960,28700,6.5,AssoProf
486,Female,1969,7,8000,42600,6,Professr
333,Female,1981,5,16500,32100,10.5,Professr
797,Female,1976,7,11000,33700,3,Professr
962,Male,1981,5,16500,31800,15.1,Professr
577,Male,1966,3,6800,43600,4,Professr
623,Female,1975,2,10200,34600,9.75,Professr
850,Female,1978,5,10000,28000,1,Professr
974,Female,1979,8,13250,29500,8,AsstProf
492,Male,1968,6,10600,44400,8,Professr
389,Female,1981,5,15000,30200,9.5,Professr
788,Male,1981,8,14450,28100,4,AssoProf
346,Female,1975,2,11700,37600,11.83,Professr
179,Female,1975,2,11200,37600,9,Professr
209,Female,1976,5,10000,31700,5,Professr
828,Male,1982,6,14500,26600,3,AssoProf
709,Female,1983,5,14000,22600,6.33,AsstProf
693,Female,1976,1,10000,31900,2,Professr
857,Female,1984,1,16000,24000,1,AsstProf
134,Male,1981,5,13750,26700,9,AsstProf
